DATE_SEPARATION,AGE_GROUP,AGE_VALUE,EDUCATION,EDUCATION_LEVEL,TEMPS_DE_SERVICE,POSTE_OCCUPATION_CTG,POSTE_OCCUPATION,OCCUPATION_CATEGORY,SALARY_LEVEL_CTG,SALARY_LEVEL,AVERAGE_SALARY,LENGTH_OF_SERVICE,WORK_SCHEDULE,WORK_SCHEDULE_CTG,SEPARATION_CATEGORY
11-01-22,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-23,40.0-44,44,4,,2,White Collar,1101-GENERAL BUSINESS AND INDUSTRY,Administrative,"110,000 - 119,999",119999,114665.0,1.1,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.3,Full-time,F-Full-time Nonseasonal,Involontaire
01-01-23,40.0-44,44,4,,1,White Collar,1102-CONTRACTING,Professional,"110,000 - 119,999",119999,114665.0,0.3,Full-time,F-Full-time Nonseasonal,Autre
12-01-22,20.0-24,24,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.3,Full-time,F-Full-time Nonseasonal,Involontaire
12-01-22,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
06-01-23,30.0-34,34,13,BACHELORS,1,White Collar,0132-INTELLIGENCE,Administrative,"110,000 - 119,999",119999,112015.0,0.8,Full-time,F-Full-time Nonseasonal,Autre
06-01-23,30.0-34,34,22,POST-DOCTORATE,1,White Collar,0028-ENVIRONMENTAL PROTECTION SPECIALIST,Administrative,"100,000 - 109,999",109999,102229.0,0.7,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-23,35.0-39,39,17,MASTERS,1,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"90,000 - 99,999",99999,94199.0,0.9,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,20.0-24,24,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"40,000 - 49,999",49999,44740.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
12-01-22,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"40,000 - 49,999",49999,47216.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
12-01-22,20.0-24,24,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50389.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
12-01-22,30.0-34,34,14,POST-BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,51444.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,54959.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-23,20.0-24,24,4,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38540.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-23,25.0-29,29,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.3,Not Full-time,P-Part-time Nonseasonal,Involontaire
04-01-23,25.0-29,29,14,POST-BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
05-01-23,25.0-29,29,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.3,Full-time,F-Full-time Nonseasonal,Involontaire
05-01-23,20.0-24,24,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.3,Not Full-time,P-Part-time Nonseasonal,Involontaire
04-01-23,30.0-34,34,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.3,Full-time,F-Full-time Nonseasonal,Involontaire
04-01-23,20.0-24,24,9,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38317.0,0.2,Not Full-time,P-Part-time Nonseasonal,Involontaire
05-01-23,20.0-24,24,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"40,000 - 49,999",49999,42870.0,0.3,Not Full-time,P-Part-time Nonseasonal,Involontaire
05-01-23,30.0-34,34,13,BACHELORS,1,White Collar,0999-LEGAL OCCUPATIONS STUDENT TRAINEE,Other White Collar,"60,000 - 69,999",69999,64957.0,0.3,Not Full-time,P-Part-time Nonseasonal,Involontaire
04-01-23,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,54576.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-23,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.2,Not Full-time,P-Part-time Nonseasonal,Involontaire
06-01-23,20.0-24,24,9,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53898.0,0.3,Not Full-time,P-Part-time Nonseasonal,Involontaire
05-01-23,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.2,Not Full-time,P-Part-time Nonseasonal,Volontaire
05-01-23,20.0-24,24,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.2,Not Full-time,P-Part-time Nonseasonal,Involontaire
05-01-23,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,52527.0,0.2,Not Full-time,P-Part-time Nonseasonal,Volontaire
09-01-23,35.0-39,39,13,BACHELORS,1,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"80,000 - 89,999",89999,84441.0,0.4,Full-time,F-Full-time Nonseasonal,Autre
09-01-23,25.0-29,29,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"40,000 - 49,999",49999,44057.0,0.3,Full-time,F-Full-time Nonseasonal,Involontaire
08-01-23,20.0-24,24,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,39379.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
08-01-23,20.0-24,24,4,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38317.0,0.2,Not Full-time,P-Part-time Nonseasonal,Involontaire
08-01-23,25.0-29,29,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,53105.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
08-01-23,20.0-24,24,9,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,37696.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
09-01-23,20.0-24,24,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"40,000 - 49,999",49999,42870.0,0.3,Full-time,F-Full-time Nonseasonal,Involontaire
09-01-23,20.0-24,24,14,POST-BACHELORS,1,White Collar,0999-LEGAL OCCUPATIONS STUDENT TRAINEE,Other White Collar,"60,000 - 69,999",69999,64957.0,0.3,Full-time,F-Full-time Nonseasonal,Involontaire
08-01-23,20.0-24,24,9,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38317.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
08-01-23,20.0-24,24,9,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38317.0,0.2,Not Full-time,P-Part-time Nonseasonal,Involontaire
08-01-23,20.0-24,24,9,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"40,000 - 49,999",49999,42870.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
08-01-23,25.0-29,29,13,BACHELORS,1,White Collar,0999-LEGAL OCCUPATIONS STUDENT TRAINEE,Other White Collar,"40,000 - 49,999",49999,48648.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-23,20.0-24,24,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38317.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
06-01-23,20.0-24,24,9,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38317.0,0.0,Not Full-time,P-Part-time Nonseasonal,Volontaire
08-01-23,20.0-24,24,11,BETWEEN HS & BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38317.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
08-01-23,<20,20,7,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,33693.0,0.2,Not Full-time,P-Part-time Nonseasonal,Involontaire
08-01-23,<20,20,4,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,38317.0,0.1,Full-time,F-Full-time Nonseasonal,Involontaire
03-01-22,45.0-49,49,13,BACHELORS,24,White Collar,0501-FINANCIAL ADMINISTRATION AND PROGRAM,Administrative,"160,000 - 169,999",169999,168282.0,22.3,Full-time,F-Full-time Nonseasonal,Autre
05-01-23,45.0-49,49,17,MASTERS,9,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"180,000 - 189,999",189999,183500.0,8.9,Full-time,F-Full-time Nonseasonal,Involontaire
12-01-19,55.0-59,59,13,BACHELORS,24,White Collar,0080-SECURITY ADMINISTRATION,Administrative,"110,000 - 119,999",119999,115699.0,24.3,Full-time,F-Full-time Nonseasonal,Involontaire
04-01-23,35.0-39,39,17,MASTERS,19,White Collar,1102-CONTRACTING,Professional,"150,000 - 159,999",159999,154428.0,16.1,Full-time,F-Full-time Nonseasonal,Autre
08-01-22,40.0-44,44,15,POST-BACHELORS,14,White Collar,0905-GENERAL ATTORNEY,Professional,"170,000 - 179,999",179999,176300.0,14.7,Full-time,F-Full-time Nonseasonal,Autre
01-01-22,35.0-39,39,13,BACHELORS,14,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"150,000 - 159,999",159999,158383.0,12.4,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-21,40.0-44,44,17,MASTERS,19,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,172500.0,19.9,Full-time,F-Full-time Nonseasonal,Autre
09-01-22,>=65,65,17,MASTERS,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,176300.0,10.2,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-22,30.0-34,34,13,BACHELORS,9,White Collar,1810-GENERAL INVESTIGATION,Administrative,"90,000 - 99,999",99999,92829.0,6.3,Full-time,F-Full-time Nonseasonal,Autre
12-01-22,30.0-34,34,17,MASTERS,9,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"110,000 - 119,999",119999,110384.0,6.2,Full-time,F-Full-time Nonseasonal,Autre
09-01-21,30.0-34,34,17,MASTERS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,74158.0,5.4,Full-time,F-Full-time Nonseasonal,Autre
05-01-23,50.0-54,54,13,BACHELORS,14,White Collar,0501-FINANCIAL ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,100479.0,14.3,Full-time,F-Full-time Nonseasonal,Autre
12-01-19,60.0-64,64,17,MASTERS,24,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"160,000 - 169,999",169999,166500.0,22.2,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-19,>=65,65,15,POST-BACHELORS,24,White Collar,0905-GENERAL ATTORNEY,Professional,"160,000 - 169,999",169999,166500.0,20.9,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-20,>=65,65,13,BACHELORS,34,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,170800.0,34.0,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-20,45.0-49,49,14,POST-BACHELORS,19,White Collar,0341-ADMINISTRATIVE OFFICER,Administrative,"130,000 - 139,999",139999,136725.0,19.6,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-21,30.0-34,34,13,BACHELORS,14,White Collar,0201-HUMAN RESOURCES MANAGEMENT,Administrative,"150,000 - 159,999",159999,151118.0,14.4,Full-time,F-Full-time Nonseasonal,Involontaire
05-01-21,45.0-49,49,18,POST MASTERS,19,White Collar,0341-ADMINISTRATIVE OFFICER,Administrative,"130,000 - 139,999",139999,138866.0,15.5,Full-time,F-Full-time Nonseasonal,Involontaire
03-01-23,40.0-44,44,13,BACHELORS,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"120,000 - 129,999",129999,123216.0,12.3,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-21,45.0-49,49,17,MASTERS,4,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,172500.0,4.7,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-22,45.0-49,49,21,DOCTORATE,14,White Collar,0905-GENERAL ATTORNEY,Professional,"170,000 - 179,999",179999,176300.0,13.4,Full-time,F-Full-time Nonseasonal,Autre
07-01-20,50.0-54,54,23,,19,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"160,000 - 169,999",169999,164200.0,19.9,Full-time,F-Full-time Nonseasonal,Involontaire
10-01-20,50.0-54,54,17,MASTERS,19,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,170800.0,16.3,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-20,40.0-44,44,17,MASTERS,9,White Collar,1712-TRAINING INSTRUCTION,Administrative,"100,000 - 109,999",109999,102663.0,9.2,Full-time,F-Full-time Nonseasonal,Autre
07-01-21,55.0-59,59,17,MASTERS,9,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,172500.0,8.7,Full-time,F-Full-time Nonseasonal,Involontaire
06-01-23,45.0-49,49,17,MASTERS,2,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"50,000 - 59,999",59999,53105.0,1.8,Full-time,F-Full-time Nonseasonal,Autre
07-01-22,35.0-39,39,4,,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"110,000 - 119,999",119999,117505.0,10.5,Full-time,F-Full-time Nonseasonal,Autre
02-01-21,>=65,65,4,,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"60,000 - 69,999",69999,68146.0,10.6,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-21,40.0-44,44,17,MASTERS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,78167.0,6.7,Full-time,F-Full-time Nonseasonal,Autre
05-01-20,30.0-34,34,17,MASTERS,9,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"90,000 - 99,999",99999,92091.0,5.6,Full-time,F-Full-time Nonseasonal,Autre
09-01-23,45.0-49,49,23,,4,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,176300.0,3.4,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-22,35.0-39,39,17,MASTERS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"110,000 - 119,999",119999,110798.0,6.1,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-19,30.0-34,34,17,MASTERS,4,White Collar,1109-GRANTS MANAGEMENT,Administrative,"80,000 - 89,999",89999,83398.0,3.8,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-20,35.0-39,39,21,DOCTORATE,4,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"80,000 - 89,999",89999,81634.0,3.8,Full-time,F-Full-time Nonseasonal,Autre
08-01-21,30.0-34,34,13,BACHELORS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"60,000 - 69,999",69999,66142.0,6.5,Full-time,F-Full-time Nonseasonal,Autre
12-01-20,30.0-34,34,13,BACHELORS,4,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"70,000 - 79,999",79999,76832.0,4.1,Full-time,F-Full-time Nonseasonal,Autre
09-01-20,30.0-34,34,17,MASTERS,4,White Collar,1109-GRANTS MANAGEMENT,Administrative,"80,000 - 89,999",89999,86335.0,3.2,Full-time,F-Full-time Nonseasonal,Autre
10-01-20,30.0-34,34,17,MASTERS,4,White Collar,1109-GRANTS MANAGEMENT,Administrative,"80,000 - 89,999",89999,86335.0,3.3,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-22,30.0-34,34,15,POST-BACHELORS,4,White Collar,0905-GENERAL ATTORNEY,Professional,"110,000 - 119,999",119999,110384.0,4.6,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-20,25.0-29,29,17,MASTERS,2,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"70,000 - 79,999",79999,72030.0,1.8,Full-time,F-Full-time Nonseasonal,Autre
04-01-22,30.0-34,34,13,BACHELORS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,77447.0,5.0,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-22,30.0-34,34,13,BACHELORS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,77447.0,5.0,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-23,40.0-44,44,17,MASTERS,19,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"140,000 - 149,999",149999,145604.0,16.3,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-23,30.0-34,34,21,DOCTORATE,4,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"110,000 - 119,999",119999,112015.0,3.7,Full-time,F-Full-time Nonseasonal,Autre
02-01-23,25.0-29,29,13,BACHELORS,2,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,78592.0,2.9,Full-time,F-Full-time Nonseasonal,Autre
07-01-23,40.0-44,44,13,BACHELORS,4,White Collar,1035-PUBLIC AFFAIRS,Administrative,"130,000 - 139,999",139999,132368.0,3.4,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-23,25.0-29,29,13,BACHELORS,2,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,78592.0,2.3,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-22,45.0-49,49,4,,1,White Collar,1109-GRANTS MANAGEMENT,Administrative,"80,000 - 89,999",89999,89834.0,0.3,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-20,60.0-64,64,4,,19,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"70,000 - 79,999",79999,77396.0,16.8,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-19,60.0-64,64,17,MASTERS,19,White Collar,1101-GENERAL BUSINESS AND INDUSTRY,Administrative,"150,000 - 159,999",159999,155500.0,18.4,Full-time,F-Full-time Nonseasonal,Involontaire
11-01-19,55.0-59,59,13,BACHELORS,24,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,176900.0,22.2,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-21,50.0-54,54,15,POST-BACHELORS,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"160,000 - 169,999",169999,168400.0,13.3,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-21,30.0-34,34,13,BACHELORS,9,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"140,000 - 149,999",149999,148932.0,8.4,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,30.0-34,34,13,BACHELORS,4,White Collar,1035-PUBLIC AFFAIRS,Administrative,"80,000 - 89,999",89999,84879.0,3.5,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-20,30.0-34,34,4,,2,White Collar,2005-SUPPLY CLERICAL AND TECHNICIAN,Technical,"50,000 - 59,999",59999,53339.0,2.5,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-20,50.0-54,54,4,,9,White Collar,0856-ELECTRONICS TECHNICAL,Technical,"70,000 - 79,999",79999,73358.0,9.6,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-20,40.0-44,44,8,,9,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"60,000 - 69,999",69999,65488.0,5.0,Full-time,F-Full-time Nonseasonal,Autre
01-01-21,50.0-54,54,17,MASTERS,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,123256.0,26.2,Full-time,F-Full-time Nonseasonal,Autre
08-01-21,>=65,65,13,BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,81147.0,22.8,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-23,60.0-64,64,14,POST-BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,104272.0,20.8,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,60.0-64,64,13,BACHELORS,34,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,103309.0,34.3,Full-time,F-Full-time Nonseasonal,Autre
09-01-20,55.0-59,59,9,,14,Blue Collar,2502-TELECOMMUNICATIONS MECHANIC,Blue Collar,"70,000 - 79,999",79999,75486.0,12.2,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-23,40.0-44,44,17,MASTERS,19,White Collar,0501-FINANCIAL ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,109898.0,15.0,Full-time,F-Full-time Nonseasonal,Autre
